Hang_xe,Tuoi_xe,Nam_dang_ky,Tinh_trang_xe,Dung_tich_xe,Dong_xe,So_km_da_di,Loai_xe,Gia_xe
Honda,9,2014,Đã sử dụng,100 - 175 cc,Vision,32000,Tay ga,17800000.0
Honda,13,2010,Đã sử dụng,100 - 175 cc,Wave,5,Xe số,11500000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vision,1,Tay ga,28800000.0
Yamaha,9,2014,Đã sử dụng,100 - 175 cc,Exciter,10000,Tay côn,17800000.0
Yamaha,14,2009,Đã sử dụng,Không rõ,Exciter,40000,Xe số,37900000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,SH,9000,Tay ga,93000000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vario,14000,Tay ga,44900000.0
Honda,43,1980,Đã sử dụng,Dưới 50 cc,Cub,36,Xe số,1850000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,Vision,1,Tay ga,25800000.0
Honda,8,2015,Đã sử dụng,100 - 175 cc,AirBlade,1,Tay ga,21500000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,CBR,5,Tay côn,56000000.0
Honda,43,1980,Đã sử dụng,Không rõ,67,35000,Tay côn,89000000.0
Piaggio,5,2018,Đã sử dụng,100 - 175 cc,Liberty,5,Tay ga,30000000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vario,5,Tay ga,35000000.0
SYM,6,2017,Đã sử dụng,100 - 175 cc,Elegant,3939,Xe số,6900000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,WinnerX,7,Tay côn,26500000.0
Honda,10,2013,Đã sử dụng,Không rõ,AirBlade,1000,Tay ga,13800000.0
Suzuki,4,2019,Đã sử dụng,100 - 175 cc,GD,55000,Tay côn,18000000.0
Suzuki,4,2019,Đã sử dụng,100 - 175 cc,Satria,5,Tay côn,33500000.0
Honda,6,2017,Đã sử dụng,100 - 175 cc,Winner,10,Tay ga,33000000.0
Honda,5,2018,Đã sử dụng,Không rõ,SH,31998,Tay ga,49111111.0
Yamaha,6,2017,Đã sử dụng,100 - 175 cc,Exciter,23000,Tay côn,30000000.0
Honda,7,2016,Đã sử dụng,Không rõ,Vario,18000,Tay ga,53500000.0
Honda,4,2019,Đã sử dụng,Không rõ,MSX125,15000,Tay côn,29900000.0
Honda,4,2019,Đã sử dụng,Không rõ,Vario,15000,Tay ga,37900000.0
Honda,1,2022,Đã sử dụng,Không rõ,AirBlade,9000,Tay ga,49900000.0
Piaggio,10,2013,Đã sử dụng,Không rõ,Zip,23456,Tay ga,11000000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,Wave,315,Xe số,48800000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Winner,5,Tay côn,21000000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,Wave,5,Xe số,13500000.0
Honda,1,2022,Đã sử dụng,Không rõ,AirBlade,10000,Tay ga,37900000.0
Yamaha,9,2014,Đã sử dụng,100 - 175 cc,Exciter,5,Tay côn,18000000.0
Suzuki,3,2020,Đã sử dụng,100 - 175 cc,Raider,27000,Tay côn,29000000.0
Honda,15,2008,Đã sử dụng,100 - 175 cc,CD,5000,Tay côn,22500000.0
